Date,GDP
01-01-2009,1432646.64
01-02-2009,1432646.64
01-03-2009,1432646.64
01-04-2009,1497644.892
01-05-2009,1497644.892
01-06-2009,1497644.892
01-07-2009,1700487.455
01-08-2009,1700487.455
01-09-2009,1700487.455
01-10-2009,1847048
01-11-2009,1847048
01-12-2009,1847048
01-01-2010,1744175.257
01-02-2010,1744175.257
01-03-2010,1744175.257
01-04-2010,1786982.533
01-05-2010,1786982.533
01-06-2010,1786982.533
01-07-2010,2045156.884
01-08-2010,2045156.884
01-09-2010,2045156.884
01-10-2010,2207800.83
01-11-2010,2207800.83
01-12-2010,2207800.83
01-01-2011,2068357.03
01-02-2011,2068357.03
01-03-2011,2068357.03
01-04-2011,2085172.455
01-05-2011,2085172.455
01-06-2011,2085172.455
01-07-2011,2355953.138
01-08-2011,2355953.138
01-09-2011,2355953.138
01-10-2011,2500239.269
01-11-2011,2500239.269
01-12-2011,2500239.269
01-01-2012,2308733.202
01-02-2012,2308733.202
01-03-2012,2308733.202
01-04-2012,2341292.002
01-05-2012,2341292.002
01-06-2012,2341292.002
01-07-2012,2657934.028
01-08-2012,2657934.028
01-09-2012,2657934.028
01-10-2012,2805321.183
01-11-2012,2805321.183
01-12-2012,2805321.183
01-01-2013,2546935.425
01-02-2013,2546935.425
01-03-2013,2546935.425
01-04-2013,2658622.229
01-05-2013,2658622.229
01-06-2013,2658622.229
01-07-2013,3002682.529
01-08-2013,3002682.529
01-09-2013,3002682.529
01-10-2013,3146833.303
01-11-2013,3146833.303
01-12-2013,3146833.303
01-01-2014,2914393.22
01-02-2014,2914393.22
01-03-2014,2914393.22
01-04-2014,3053982.03
01-05-2014,3053982.03
01-06-2014,3053982.03
01-07-2014,2921070.04
01-08-2014,2921070.04
01-09-2014,2921070.04
01-10-2014,3314666.8
01-11-2014,3314666.8
01-12-2014,3314666.8
01-01-2015,3243543.36
01-02-2015,3243543.36
01-03-2015,3243543.36
01-04-2015,3355884.42
01-05-2015,3355884.42
01-06-2015,3355884.42
01-07-2015,3476632.47
01-08-2015,3476632.47
01-09-2015,3476632.47
01-10-2015,3695813.63
01-11-2015,3695813.63
01-12-2015,3695813.63
01-01-2016,3639774.61
01-02-2016,3639774.61
01-03-2016,3639774.61
01-04-2016,3754117.03
01-05-2016,3754117.03
01-06-2016,3754117.03
01-07-2016,3875006.7
01-08-2016,3875006.7
01-09-2016,3875006.7
01-10-2016,4122770.68
01-11-2016,4122770.68
01-12-2016,4122770.68
01-01-2017,4008915.96
01-02-2017,4008915.96
01-03-2017,4008915.96
01-04-2017,4157246.35
01-05-2017,4157246.35
01-06-2017,4157246.35
01-07-2017,4339193.52
01-08-2017,4339193.52
01-09-2017,4339193.52
01-10-2017,4584686
01-11-2017,4584686
01-12-2017,4584686
01-01-2018,4569369.11
01-02-2018,4569369.11
01-03-2018,4569369.11
01-04-2018,4656017.01
01-05-2018,4656017.01
01-06-2018,4656017.01
01-07-2018,4872998.34
01-08-2018,4872998.34
01-09-2018,4872998.34
01-10-2018,4801283.99
01-11-2018,4801283.99
01-12-2018,4801283.99
01-01-2019,4942455.14
01-02-2019,4942455.14
01-03-2019,4942455.14
01-04-2019,4861652.38
01-05-2019,4861652.38
01-06-2019,4861652.38
01-07-2019,5130411.6
01-08-2019,5130411.6
01-09-2019,5130411.6
01-10-2019,5140336.68
01-11-2019,5140336.68
01-12-2019,5140336.68
01-01-2020,3873443.4
01-02-2020,3873443.4
01-03-2020,3873443.4
01-04-2020,4721818.87
01-05-2020,4721818.87
01-06-2020,4721818.87
01-07-2020,5448542.27
01-08-2020,5448542.27
01-09-2020,5448542.27
01-10-2020,5757109.45
01-11-2020,5757109.45
01-12-2020,5757109.45
01-01-2021,5126789.26
01-02-2021,5126789.26
01-03-2021,5126789.26
01-04-2021,5620166.01
01-05-2021,5620166.01
01-06-2021,5620166.01
01-07-2021,6302446.53
01-08-2021,6302446.53
01-09-2021,6302446.53
01-10-2021,6615235.2
01-11-2021,6615235.2
01-12-2021,6615235.2
01-01-2022,6494736.35
01-02-2022,6494736.35
01-03-2022,6494736.35
01-04-2022,38027690.7
01-05-2022,38027690.7
01-06-2022,38027690.7
01-07-2022,38912507.3
01-08-2022,38912507.3
01-09-2022,38912507.3
01-10-2022,40575777.8
01-11-2022,40575777.8
01-12-2022,40575777.8
01-01-2023,44133158
01-02-2023,44133158
01-03-2023,44133158
01-04-2023,41701144.4
01-05-2023,41701144.4
01-06-2023,41701144.4
01-07-2023,42548057.9
01-08-2023,42548057.9
01-09-2023,42548057.9
01-10-2023,44436382.4
01-11-2023,44436382.4
01-12-2023,44436382.4
01-01-2024,47820324.7
01-02-2024,47820324.7
01-03-2024,47820324.7
01-04-2024,44416639.5
01-05-2024,44416639.5
01-06-2024,44416639.5
01-07-2024,44935865.6
01-08-2024,44935865.6
01-09-2024,44935865.6
01-10-2024,47265418.3
01-11-2024,47265418.3
01-12-2024,47265418.3
