Industry,Quarter_Label,GDP
11 GDP at Market Prices,2004-05 - Q1,735363.3952
11 GDP at Market Prices,2004-05 - Q2,759934.9886
11 GDP at Market Prices,2004-05 - Q3,857556.3938
11 GDP at Market Prices,2004-05 - Q4,889354.2225
11 GDP at Market Prices,2005-06 - Q1,836989.8889
11 GDP at Market Prices,2005-06 - Q2,855336.8213
11 GDP at Market Prices,2005-06 - Q3,976226.0048
11 GDP at Market Prices,2005-06 - Q4,1024816.077
11 GDP at Market Prices,2006-07 - Q1,952259.2837
11 GDP at Market Prices,2006-07 - Q2,1004154.817
11 GDP at Market Prices,2006-07 - Q3,1139313.447
11 GDP at Market Prices,2006-07 - Q4,1198977.379
11 GDP at Market Prices,2007-08 - Q1,1126480.877
11 GDP at Market Prices,2007-08 - Q2,1150803.753
11 GDP at Market Prices,2007-08 - Q3,1321648.386
11 GDP at Market Prices,2007-08 - Q4,1388156.551
11 GDP at Market Prices,2008-09 - Q1,1333464.105
11 GDP at Market Prices,2008-09 - Q2,1366183.713
11 GDP at Market Prices,2008-09 - Q3,1465284.275
11 GDP at Market Prices,2008-09 - Q4,1465131.005
11 GDP at Market Prices,2009-10 - Q1,1432646.64
11 GDP at Market Prices,2009-10 - Q2,1497644.892
11 GDP at Market Prices,2009-10 - Q3,1700487.455
11 GDP at Market Prices,2009-10 - Q4,1847048
11 GDP at Market Prices,2010-11 - Q1,1744175.257
11 GDP at Market Prices,2010-11 - Q2,1786982.533
11 GDP at Market Prices,2010-11 - Q3,2045156.884
11 GDP at Market Prices,2010-11 - Q4,2207800.83
11 GDP at Market Prices,2011-12 - Q1,2068357.03
11 GDP at Market Prices,2011-12 - Q2,2085172.455
11 GDP at Market Prices,2011-12 - Q3,2355953.138
11 GDP at Market Prices,2011-12 - Q4,2500239.269
11 GDP at Market Prices,2012-13 - Q1,2308733.202
11 GDP at Market Prices,2012-13 - Q2,2341292.002
11 GDP at Market Prices,2012-13 - Q3,2657934.028
11 GDP at Market Prices,2012-13 - Q4,2805321.183
11 GDP at Market Prices,2013-14 - Q1,2546935.425
11 GDP at Market Prices,2013-14 - Q2,2658622.229
11 GDP at Market Prices,2013-14 - Q3,3002682.529
11 GDP at Market Prices,2013-14 - Q4,3146833.303
